Operation,Run,Time (seconds)
Decode,265,3.38ms
Decode,266,3.74ms
Decode,267,3.29ms
Decode,268,3.86ms
Decode,269,3.34ms
Decode,270,3.55ms
Decode,271,3.48ms
Decode,272,4.12ms
Decode,273,3.64ms
Decode,274,3.33ms
Decode,275,3.33ms
Decode,276,3.52ms
Decode,277,3.26ms
Decode,278,3.26ms
Decode,279,3.42ms
Decode,280,3.46ms
Decode,281,3.44ms
Decode,282,3.75ms
Decode,283,3.35ms
Decode,284,4.72ms
Decode,285,23.84ms
Decode,286,7.17ms
Decode,287,3.69ms
Decode,288,3.38ms
Decode,289,3.21ms
Decode,290,3.34ms
Decode,291,3.42ms
Decode,292,3.47ms
Decode,293,3.57ms
Decode,294,3.49ms
Decode,295,3.61ms
Decode,296,3.24ms
Decode,297,3.89ms
Decode,298,3.18ms
Decode,299,3.68ms
Decode,300,3.35ms
Decode,301,3.31ms
Decode,302,3.74ms
Decode,303,3.34ms
Decode,304,3.45ms
Decode,305,3.32ms
Decode,306,3.61ms
Decode,307,3.54ms
Decode,308,3.38ms
Decode,309,3.46ms
Decode,310,3.36ms
Decode,311,3.23ms
Decode,312,3.85ms
Decode,313,3.37ms
Decode,314,3.33ms
Decode,315,3.33ms
Decode,316,3.46ms
Decode,317,3.54ms
Decode,318,3.74ms
Decode,319,3.55ms
Decode,320,3.40ms
Decode,321,3.20ms
Decode,322,3.82ms
Decode,323,3.25ms
Decode,324,3.59ms
Decode,325,3.19ms
Decode,326,3.24ms
Decode,327,3.61ms
Decode,328,3.65ms
Decode,329,3.63ms
Decode,330,3.59ms
Decode,331,3.35ms
Decode,332,3.71ms
Decode,333,3.28ms
Decode,334,3.53ms
Decode,335,3.72ms
Decode,336,3.34ms
Decode,337,3.77ms
Decode,338,3.47ms
Decode,339,3.38ms
Decode,340,3.22ms
Decode,341,3.44ms
Decode,342,3.49ms
Decode,343,3.43ms
Decode,344,3.61ms
Decode,345,3.41ms
Decode,346,3.50ms
Decode,347,3.59ms
Decode,348,15.78ms
Decode,349,6.52ms
Decode,350,3.38ms
Decode,351,3.35ms
Decode,352,3.81ms
Decode,353,3.28ms
Decode,354,3.59ms
Decode,355,3.33ms
Decode,356,3.29ms
Decode,357,3.47ms
Decode,358,3.50ms
Decode,359,3.52ms
Decode,360,3.36ms
Decode,361,3.64ms
Decode,362,3.40ms
Decode,363,3.67ms
Decode,364,3.25ms
Decode,365,3.39ms
Decode,366,3.58ms
Decode,367,3.49ms
Decode,368,3.45ms
Decode,369,3.82ms
Decode,370,3.60ms
Decode,371,3.47ms
Decode,372,3.26ms
Decode,373,3.61ms
