Operation,Run,Time (seconds)
Decode,389,4.24ms
Encode,389,1.24ms
Decode,389,5.13ms
Decode,390,4.23ms
Encode,390,1.04ms
Decode,390,5.05ms
Decode,391,3.95ms
Encode,391,1.24ms
Decode,391,4.33ms
Decode,392,5.06ms
Encode,392,1.02ms
Decode,392,4.50ms
Decode,393,3.80ms
Encode,393,907.79µs
Decode,393,4.72ms
Decode,394,3.88ms
Encode,394,1.00ms
Decode,394,5.38ms
Decode,395,4.40ms
Encode,395,994.67µs
Decode,395,5.19ms
Decode,396,4.20ms
Encode,396,900.79µs
Decode,396,4.95ms
Decode,397,3.75ms
Encode,397,1.47ms
Decode,397,4.42ms
Decode,398,5.20ms
Encode,398,1.31ms
Decode,398,7.55ms
Decode,399,5.96ms
Encode,399,1.03ms
Decode,399,4.47ms
Decode,400,4.62ms
Encode,400,1.18ms
Decode,400,5.54ms
Decode,401,5.24ms
Encode,401,1.14ms
Decode,401,4.10ms
Decode,402,4.51ms
Encode,402,1.07ms
Decode,402,5.02ms
Decode,403,4.09ms
Encode,403,929.50µs
Decode,403,5.74ms
Decode,404,4.33ms
Encode,404,1.04ms
Decode,404,4.72ms
Decode,405,4.07ms
Encode,405,925.75µs
Decode,405,5.53ms
Decode,406,4.37ms
Encode,406,1.19ms
Decode,406,4.44ms
Decode,407,5.05ms
Encode,407,983.71µs
Decode,407,4.85ms
Decode,408,4.06ms
Encode,408,1.05ms
Decode,408,5.41ms
Decode,409,4.87ms
Encode,409,994.79µs
Decode,409,4.07ms
Decode,410,4.59ms
Encode,410,1.01ms
Decode,410,4.59ms
Decode,411,3.83ms
Encode,411,961.29µs
Decode,411,4.22ms
Decode,412,4.17ms
Encode,412,1.09ms
Decode,412,3.57ms
Decode,413,3.88ms
Encode,413,986.42µs
Decode,413,4.07ms
Decode,414,3.82ms
Encode,414,1.00ms
Decode,414,3.82ms
Decode,415,4.05ms
Encode,415,899.92µs
Decode,415,4.05ms
Decode,416,3.60ms
Encode,416,879.17µs
Decode,416,4.22ms
Decode,417,3.97ms
Encode,417,1.00ms
Decode,417,4.00ms
Decode,418,3.82ms
Encode,418,811.50µs
Decode,418,4.00ms
Decode,419,3.92ms
Encode,419,949.83µs
Decode,419,3.64ms
Decode,420,4.02ms
Encode,420,857.79µs
Decode,420,3.74ms
Decode,421,3.65ms
Encode,421,866.17µs
Decode,421,4.14ms
Decode,422,3.52ms
Encode,422,830.29µs
Decode,422,4.21ms
Decode,423,3.78ms
Encode,423,892.92µs
Decode,423,4.43ms
Decode,424,3.85ms
Encode,424,906.96µs
Decode,424,4.53ms
Decode,425,3.89ms
Encode,425,853.96µs
Decode,425,3.71ms
Decode,426,3.60ms
Encode,426,869.83µs
Decode,426,4.15ms
Decode,427,3.75ms
Encode,427,876.54µs
Decode,427,4.08ms
Decode,428,4.42ms
Encode,428,1.02ms
Decode,428,3.70ms
Decode,429,3.38ms
Encode,429,908.92µs
Decode,429,4.04ms
Decode,430,3.50ms
Encode,430,902.54µs
Decode,430,4.02ms
Decode,431,3.58ms
Encode,431,904.42µs
Decode,431,3.94ms
Decode,432,3.72ms
Encode,432,930.17µs
Decode,432,3.90ms
Decode,433,4.06ms
Encode,433,1.08ms
Decode,433,4.05ms
Decode,434,3.98ms
Encode,434,933.33µs
Decode,434,3.89ms
Decode,435,3.79ms
Encode,435,982.17µs
Decode,435,4.31ms
Decode,436,3.72ms
Encode,436,907.92µs
Decode,436,3.98ms
Decode,437,3.51ms
Encode,437,995.17µs
Decode,437,4.01ms
Decode,438,3.54ms
Encode,438,863.38µs
Decode,438,4.21ms
Decode,439,3.58ms
Encode,439,966.46µs
Decode,439,4.54ms
Decode,440,3.89ms
Encode,440,945.08µs
Decode,440,4.04ms
Decode,441,3.79ms
Encode,441,961.75µs
Decode,441,4.09ms
Decode,442,3.70ms
Encode,442,916.54µs
Decode,442,4.07ms
Decode,443,3.89ms
Encode,443,826.75µs
Decode,443,3.93ms
Decode,444,3.59ms
Encode,444,852.79µs
Decode,444,3.95ms
Decode,445,3.37ms
Encode,445,830.46µs
Decode,445,4.13ms
Decode,446,3.73ms
Encode,446,851.88µs
Decode,446,4.22ms
Decode,447,3.54ms
Encode,447,860.29µs
Decode,447,3.50ms
Decode,448,3.81ms
Encode,448,837.88µs
Decode,448,4.00ms
Decode,449,3.88ms
Encode,449,887.54µs
Decode,449,4.03ms
Decode,450,3.61ms
Encode,450,817.17µs
Decode,450,3.37ms
Decode,451,3.97ms
Encode,451,1.04ms
Decode,451,4.03ms
Decode,452,3.72ms
Encode,452,979.67µs
Decode,452,4.20ms
Decode,453,3.84ms
Encode,453,981.92µs
Decode,453,3.61ms
Decode,454,3.79ms
Encode,454,806.96µs
Decode,454,3.69ms
Decode,455,3.54ms
Encode,455,939.08µs
Decode,455,3.83ms
Decode,456,3.92ms
Encode,456,858.46µs
Decode,456,4.01ms
Decode,457,4.01ms
Encode,457,1.06ms
Decode,457,3.71ms
Decode,458,3.71ms
Encode,458,899.92µs
Decode,458,3.56ms
Decode,459,3.61ms
Encode,459,908.67µs
Decode,459,5.92ms
Decode,460,3.55ms
Encode,460,865.13µs
Decode,460,4.04ms
Decode,461,3.76ms
Encode,461,931.13µs
Decode,461,3.72ms
Decode,462,4.05ms
Encode,462,953.21µs
Decode,462,3.85ms
Decode,463,3.76ms
Encode,463,1.07ms
Decode,463,3.95ms
Decode,464,3.69ms
Encode,464,844.75µs
Decode,464,4.00ms
Decode,465,3.89ms
Encode,465,988.29µs
Decode,465,3.89ms
Decode,466,3.77ms
Encode,466,862.04µs
Decode,466,4.25ms
Decode,467,3.54ms
Encode,467,854.25µs
Decode,467,3.97ms
Decode,468,3.47ms
Encode,468,938.79µs
Decode,468,3.99ms
Decode,469,3.71ms
Encode,469,884.25µs
Decode,469,3.96ms
Decode,470,3.71ms
Encode,470,820.33µs
Decode,470,3.82ms
Decode,471,4.02ms
Encode,471,964.29µs
Decode,471,3.69ms
Decode,472,3.68ms
Encode,472,946.50µs
Decode,472,4.09ms
Decode,473,3.92ms
Encode,473,895.17µs
Decode,473,3.63ms
Decode,474,3.52ms
Encode,474,845.71µs
Decode,474,3.55ms
Decode,475,3.36ms
Encode,475,781.13µs
Decode,475,4.12ms
Decode,476,4.44ms
Encode,476,941.33µs
Decode,476,4.04ms
Decode,477,4.14ms
Encode,477,842.33µs
Decode,477,3.88ms
Decode,478,3.99ms
Encode,478,872.67µs
Decode,478,3.78ms
Decode,479,3.72ms
Encode,479,871.33µs
Decode,479,4.17ms
Decode,480,3.82ms
Encode,480,872.92µs
Decode,480,3.82ms
Decode,481,3.75ms
Encode,481,908.38µs
Decode,481,3.84ms
Decode,482,3.47ms
Encode,482,845.63µs
Decode,482,4.08ms
Decode,483,4.46ms
Encode,483,921.67µs
Decode,483,3.99ms
Decode,484,4.06ms
Encode,484,874.00µs
Decode,484,3.97ms
Decode,485,3.62ms
Encode,485,829.38µs
Decode,485,3.48ms
Decode,486,3.89ms
Encode,486,890.67µs
Decode,486,4.24ms
Decode,487,3.81ms
Encode,487,877.83µs
Decode,487,4.12ms
Decode,488,3.86ms
Encode,488,1.02ms
Decode,488,3.73ms
Decode,489,3.51ms
Encode,489,871.83µs
Decode,489,4.07ms
Decode,490,4.14ms
Encode,490,893.13µs
Decode,490,3.96ms
Decode,491,3.62ms
Encode,491,824.29µs
Decode,491,4.17ms
Decode,492,3.77ms
Encode,492,836.17µs
Decode,492,3.73ms
Decode,493,3.85ms
Encode,493,945.13µs
Decode,493,3.83ms
Decode,494,3.84ms
Encode,494,941.67µs
Decode,494,4.16ms
Decode,495,3.86ms
Encode,495,970.83µs
Decode,495,3.79ms
Decode,496,3.46ms
Encode,496,852.21µs
Decode,496,4.00ms
Decode,497,3.85ms
Encode,497,914.67µs
Decode,497,4.09ms
Decode,498,3.78ms
Encode,498,837.42µs
Decode,498,4.22ms
Decode,499,4.25ms
Encode,499,1.02ms
Decode,499,3.75ms
Decode,500,3.60ms
Encode,500,913.33µs
Decode,500,4.05ms
Decode,501,3.58ms
Encode,501,851.63µs
Decode,501,4.57ms
Decode,502,3.61ms
Encode,502,1.00ms
Decode,502,3.99ms
Decode,503,3.78ms
Encode,503,860.42µs
Decode,503,3.87ms
Decode,504,3.93ms
Encode,504,1.00ms
Decode,504,3.92ms
Decode,505,3.97ms
Encode,505,963.13µs
Decode,505,3.92ms
Decode,506,3.86ms
Encode,506,997.21µs
Decode,506,3.93ms
Decode,507,3.72ms
Encode,507,980.04µs
Decode,507,3.81ms
Decode,508,3.73ms
Encode,508,958.33µs
Decode,508,3.55ms
Decode,509,3.99ms
Encode,509,862.75µs
Decode,509,4.14ms
Decode,510,4.19ms
Encode,510,1.02ms
Decode,510,3.87ms
Decode,511,3.97ms
Encode,511,922.83µs
Decode,511,3.98ms
Decode,512,3.90ms
Encode,512,794.79µs
Decode,512,3.72ms
Decode,513,3.69ms
Encode,513,1.04ms
Decode,513,3.80ms
Decode,514,3.91ms
Encode,514,922.92µs
Decode,514,4.01ms
Decode,515,3.91ms
Encode,515,900.71µs
Decode,515,3.82ms
Decode,516,3.66ms
Encode,516,859.00µs
Decode,516,3.89ms
Decode,517,4.12ms
Encode,517,988.67µs
Decode,517,3.91ms
Decode,518,4.08ms
Encode,518,954.71µs
Decode,518,4.02ms
Decode,519,3.78ms
Encode,519,829.04µs
Decode,519,4.06ms
Decode,520,3.75ms
Encode,520,892.96µs
Decode,520,3.91ms
Decode,521,3.83ms
Encode,521,875.38µs
Decode,521,3.93ms
Decode,522,3.99ms
Encode,522,978.13µs
Decode,522,3.64ms
Decode,523,3.73ms
Encode,523,816.33µs
Decode,523,4.03ms
Encode,525,1.07ms
Decode,525,3.67ms
Decode,526,3.55ms
Encode,526,807.33µs
Decode,526,3.51ms
Decode,527,3.75ms
Encode,527,932.50µs
Decode,527,4.18ms
Decode,528,4.59ms
Encode,528,1.01ms
Decode,528,3.84ms
Decode,529,3.93ms
Encode,529,862.08µs
Decode,529,4.09ms
Decode,530,3.85ms
Encode,530,1.01ms
Decode,530,3.89ms
Decode,531,3.81ms
Encode,531,811.08µs
Decode,531,3.50ms
Decode,532,3.94ms
Encode,532,969.08µs
Decode,532,3.98ms
Decode,533,3.87ms
Encode,533,914.88µs
Decode,533,3.80ms
Decode,534,3.84ms
Encode,534,1.08ms
Decode,534,4.35ms
Decode,535,3.77ms
Encode,535,1.07ms
Decode,535,3.83ms
Decode,536,3.90ms
Encode,536,1.02ms
Decode,536,3.97ms
Decode,537,3.46ms
Encode,537,801.75µs
Decode,537,3.94ms
Decode,538,3.80ms
Encode,538,885.83µs
Decode,538,3.95ms
Decode,539,3.62ms
Encode,539,895.21µs
Decode,539,3.86ms
Decode,540,3.48ms
Encode,540,857.00µs
Decode,540,3.98ms
Decode,541,3.45ms
Encode,541,785.13µs
Decode,541,3.73ms
Decode,542,3.67ms
Encode,542,1.02ms
Decode,542,3.79ms
Decode,543,3.60ms
Encode,543,987.33µs
Decode,543,3.70ms
Decode,544,4.15ms
Encode,544,1.09ms
Decode,544,3.76ms
Decode,545,3.73ms
Encode,545,898.13µs
Decode,545,3.92ms
Decode,546,3.89ms
Encode,546,946.29µs
Decode,546,3.78ms
Decode,547,3.60ms
Encode,547,869.75µs
Decode,547,3.42ms
Decode,548,3.54ms
Encode,548,848.29µs
Decode,548,3.93ms
Decode,549,3.57ms
Encode,549,873.17µs
Decode,549,3.99ms
Decode,550,3.71ms
Encode,550,864.04µs
Decode,550,3.88ms
Decode,551,3.77ms
Encode,551,879.79µs
Decode,551,4.16ms
Decode,552,3.84ms
Encode,552,1.16ms
Decode,552,3.74ms
Decode,553,3.43ms
Encode,553,811.88µs
Decode,553,4.08ms
Decode,554,3.93ms
Encode,554,892.25µs
Decode,554,4.00ms
Decode,555,3.90ms
Encode,555,1.07ms
Decode,555,3.84ms
Decode,556,3.83ms
Encode,556,1.02ms
Decode,556,4.07ms
Decode,557,3.59ms
Encode,557,836.04µs
Decode,557,4.35ms
Decode,558,3.73ms
Encode,558,1.13ms
Decode,558,4.15ms
Decode,559,3.66ms
Encode,559,1.06ms
Decode,559,3.96ms
Decode,560,4.05ms
Encode,560,994.29µs
Decode,560,3.85ms
Decode,561,3.88ms
Encode,561,1.14ms
Decode,561,3.80ms
Decode,562,4.06ms
Encode,562,881.71µs
Decode,562,4.21ms
Decode,563,3.72ms
Encode,563,913.08µs
Decode,563,3.92ms
Decode,564,3.81ms
Encode,564,859.17µs
Decode,564,3.97ms
Decode,565,3.89ms
Encode,565,952.54µs
Decode,565,3.77ms
Decode,566,3.84ms
Encode,566,874.17µs
Decode,566,3.54ms
Decode,567,4.03ms
Encode,567,861.00µs
Decode,567,3.71ms
Decode,568,3.72ms
Encode,568,1.10ms
Decode,568,4.09ms
Decode,569,3.85ms
Encode,569,909.96µs
Decode,569,3.56ms
Decode,570,3.50ms
Encode,570,808.71µs
Decode,570,4.33ms
Decode,571,3.65ms
Encode,571,894.17µs
Decode,571,4.19ms
Decode,572,3.89ms
Encode,572,909.00µs
Decode,572,4.18ms
Decode,573,3.46ms
Encode,573,831.17µs
Decode,573,4.03ms
Decode,574,3.81ms
Encode,574,998.83µs
Decode,574,4.07ms
Decode,575,3.68ms
Encode,575,867.83µs
Decode,575,4.05ms
Decode,576,3.81ms
Encode,576,798.67µs
Decode,576,3.95ms
Decode,577,3.74ms
Encode,577,959.96µs
Decode,577,3.97ms
Decode,578,3.95ms
Encode,578,823.42µs
Decode,578,4.07ms
Decode,579,3.53ms
Encode,579,865.79µs
Decode,579,4.14ms
Decode,580,3.88ms
Encode,580,854.63µs
Decode,580,3.89ms
Decode,581,3.80ms
Encode,581,937.17µs
Decode,581,3.86ms
Decode,582,4.10ms
Encode,582,962.13µs
Decode,582,3.95ms
Decode,583,4.60ms
Encode,583,926.79µs
Decode,583,4.13ms
Decode,584,3.83ms
Encode,584,996.25µs
Decode,584,3.92ms
Decode,585,4.24ms
Encode,585,984.88µs
Decode,585,3.91ms
Decode,586,3.71ms
Encode,586,931.83µs
Decode,586,4.00ms
Decode,587,4.07ms
Encode,587,1.14ms
Decode,587,4.37ms
Decode,588,3.90ms
Encode,588,914.29µs
Decode,588,4.13ms
Decode,589,3.49ms
Encode,589,848.29µs
Decode,589,4.25ms
Decode,590,3.44ms
Encode,590,897.92µs
Decode,590,4.15ms
Decode,591,4.43ms
Encode,591,1.03ms
Decode,591,4.10ms
Decode,592,3.95ms
Encode,592,960.29µs
Decode,592,3.87ms
Decode,593,4.08ms
Encode,593,980.13µs
Decode,593,3.91ms
Decode,594,4.03ms
Encode,594,977.08µs
Decode,594,4.08ms
Decode,595,3.52ms
Encode,595,870.38µs
Decode,595,3.57ms
Decode,596,3.69ms
Encode,596,1.05ms
Decode,596,3.80ms
Decode,597,3.59ms
Encode,597,822.96µs
Decode,597,4.55ms
Decode,598,4.29ms
Encode,598,913.00µs
Decode,598,4.00ms
Decode,599,3.42ms
Encode,599,793.58µs
Decode,599,3.99ms
Decode,600,3.89ms
Encode,600,928.71µs
Decode,600,4.49ms
Decode,601,3.80ms
Encode,601,898.58µs
Decode,601,3.69ms
Decode,602,3.68ms
Encode,602,959.17µs
Decode,602,4.11ms
Decode,603,4.10ms
Encode,603,1.01ms
Decode,603,4.12ms
Decode,604,4.98ms
Encode,604,876.79µs
Decode,604,3.65ms
Decode,605,3.88ms
Encode,605,1.11ms
Decode,605,4.04ms
Decode,606,3.70ms
Encode,606,1.16ms
Decode,606,3.88ms
Decode,607,3.66ms
Encode,607,945.04µs
Decode,607,4.22ms
Decode,608,3.48ms
Encode,608,838.25µs
Decode,608,4.13ms
Decode,609,3.67ms
Encode,609,836.00µs
Decode,609,4.01ms
Decode,610,4.08ms
Encode,610,918.79µs
Decode,610,4.02ms
Decode,611,4.15ms
Encode,611,892.04µs
Decode,611,3.98ms
Decode,612,4.03ms
Encode,612,842.25µs
Decode,612,4.77ms
Decode,613,3.78ms
Encode,613,827.96µs
Decode,613,4.72ms
Decode,614,4.20ms
Encode,614,1.02ms
Decode,614,4.29ms
Decode,615,3.70ms
Encode,615,820.50µs
Decode,615,3.99ms
Decode,616,4.38ms
Encode,616,876.71µs
Decode,616,4.19ms
Decode,617,3.67ms
Encode,617,916.75µs
Decode,617,3.47ms
Decode,618,3.87ms
Encode,618,918.92µs
Decode,618,4.18ms
Decode,619,3.88ms
Encode,619,955.50µs
Decode,619,4.09ms
Decode,620,3.86ms
Encode,620,1.00ms
Decode,620,4.21ms
Decode,621,4.03ms
Encode,621,930.46µs
Decode,621,3.97ms
Decode,622,3.73ms
Encode,622,834.71µs
Decode,622,4.15ms
Decode,623,3.81ms
Encode,623,787.50µs
Decode,623,3.76ms
Decode,624,3.60ms
Encode,624,972.58µs
Decode,624,4.18ms
Decode,625,4.35ms
Encode,625,928.29µs
Decode,625,4.18ms
Decode,626,3.65ms
Encode,626,1.07ms
Decode,626,4.12ms
Decode,627,3.92ms
Encode,627,934.08µs
Decode,627,3.89ms
Decode,628,3.91ms
Encode,628,830.00µs
Decode,628,3.68ms
Decode,629,3.79ms
Encode,629,974.46µs
Decode,629,4.16ms
Decode,630,3.57ms
Encode,630,923.67µs
Decode,630,3.86ms
Decode,631,3.50ms
Encode,631,845.13µs
Decode,631,4.01ms
Decode,632,3.63ms
Encode,632,872.33µs
Decode,632,4.01ms
Decode,633,3.76ms
Encode,633,1.02ms
Decode,633,3.75ms
Decode,634,3.89ms
Encode,634,942.71µs
Decode,634,3.80ms
Decode,635,4.07ms
Encode,635,846.17µs
Decode,635,4.02ms
Decode,636,4.03ms
Encode,636,919.75µs
Decode,636,3.89ms
Decode,637,3.84ms
Encode,637,894.92µs
Decode,637,4.20ms
Decode,638,3.78ms
Encode,638,917.50µs
Decode,638,3.89ms
Decode,639,4.32ms
Encode,639,1.06ms
Decode,639,4.05ms
Decode,640,4.05ms
Encode,640,850.25µs
Decode,640,3.69ms
Decode,641,4.07ms
Encode,641,855.67µs
Decode,641,3.78ms
Decode,642,4.14ms
Encode,642,1.01ms
Decode,642,3.88ms
Decode,643,4.19ms
Encode,643,908.33µs
Decode,643,4.03ms
Decode,644,3.88ms
Encode,644,985.83µs
Decode,644,4.27ms
Decode,645,4.73ms
Encode,645,1.01ms
Decode,645,3.54ms
Decode,646,4.06ms
Encode,646,918.42µs
Decode,646,4.07ms
Decode,647,3.67ms
Encode,647,1.08ms
Decode,647,3.89ms
Decode,648,4.23ms
Encode,648,894.83µs
Decode,648,4.46ms
Decode,649,3.47ms
Encode,649,839.13µs
Decode,649,4.06ms
Decode,650,3.45ms
Encode,650,799.67µs
Decode,650,4.23ms
Decode,651,4.26ms
Encode,651,1.02ms
Decode,651,4.29ms
Decode,652,4.29ms
Encode,652,1.10ms
Decode,652,4.45ms
Decode,653,3.72ms
Encode,653,874.92µs
Decode,653,4.09ms
Decode,654,3.74ms
Encode,654,1.02ms
Decode,654,3.90ms
Decode,655,3.54ms
Encode,655,1.04ms
Decode,655,4.43ms
Decode,656,3.89ms
Encode,656,879.67µs
Decode,656,4.08ms
Decode,657,3.42ms
Encode,657,759.75µs
Decode,657,3.90ms
Decode,658,4.16ms
Encode,658,924.42µs
Decode,658,3.76ms
Decode,659,3.96ms
Encode,659,969.42µs
Decode,659,3.49ms
Decode,660,4.10ms
Encode,660,909.71µs
Decode,660,3.89ms
Decode,661,3.71ms
Encode,661,866.58µs
Decode,661,4.09ms
Decode,662,3.56ms
Encode,662,853.08µs
Decode,662,4.13ms
Decode,663,3.57ms
Encode,663,972.88µs
Decode,663,3.95ms
Decode,664,3.38ms
Encode,664,856.67µs
Decode,664,4.40ms
Decode,665,3.79ms
Encode,665,881.46µs
Decode,665,4.17ms
Decode,666,3.79ms
Encode,666,870.58µs
Decode,666,4.26ms
Decode,667,3.57ms
Encode,667,825.67µs
Decode,667,3.60ms
Decode,668,3.69ms
Encode,668,886.58µs
Decode,668,4.30ms
Decode,669,3.91ms
Encode,669,1.07ms
Decode,669,3.79ms
Decode,670,3.97ms
Encode,670,1.08ms
Decode,670,4.01ms
Decode,671,3.92ms
Encode,671,874.13µs
Decode,671,4.12ms
Decode,672,4.11ms
Encode,672,1.01ms
Decode,672,3.95ms
Decode,673,3.84ms
Encode,673,931.08µs
Decode,673,4.06ms
Decode,674,3.65ms
Encode,674,875.17µs
Decode,674,4.15ms
Decode,675,3.75ms
Encode,675,891.33µs
Decode,675,3.76ms
Decode,676,3.51ms
Encode,676,868.13µs
Decode,676,3.98ms
Decode,677,4.09ms
Encode,677,936.25µs
Decode,677,4.03ms
Decode,678,3.63ms
Encode,678,859.96µs
Decode,678,4.02ms
Decode,679,4.70ms
Encode,679,932.00µs
Decode,679,3.88ms
Decode,680,3.67ms
Encode,680,868.21µs
Decode,680,4.05ms
Decode,681,3.91ms
Encode,681,888.42µs
Decode,681,4.31ms
Decode,682,3.93ms
Encode,682,845.50µs
Decode,682,3.92ms
Decode,683,4.00ms
Encode,683,959.83µs
Decode,683,3.70ms
Decode,684,3.97ms
Encode,684,885.13µs
Decode,684,3.79ms
Decode,685,3.60ms
Encode,685,852.00µs
Decode,685,4.06ms
Decode,686,3.67ms
Encode,686,916.46µs
Decode,686,4.03ms
Decode,687,3.72ms
Encode,687,989.21µs
Decode,687,3.89ms
Decode,688,3.85ms
Encode,688,890.00µs
Decode,688,3.76ms
Decode,689,3.88ms
Encode,689,993.88µs
Decode,689,3.67ms
Decode,690,4.08ms
Encode,690,935.13µs
Decode,690,4.30ms
Decode,691,3.88ms
Encode,691,925.96µs
Decode,691,3.99ms
Decode,692,4.12ms
Encode,692,969.79µs
Decode,692,4.06ms
Decode,693,3.61ms
Encode,693,855.88µs
Decode,693,4.02ms
Decode,694,3.51ms
Encode,694,865.21µs
Decode,694,4.24ms
Decode,695,3.57ms
Encode,695,831.33µs
Decode,695,4.05ms
Decode,696,4.08ms
Encode,696,1.07ms
Decode,696,4.22ms
Decode,697,3.68ms
Encode,697,873.04µs
Decode,697,3.74ms
Decode,698,3.52ms
Encode,698,836.13µs
Decode,698,4.01ms
Decode,699,3.93ms
Encode,699,1.04ms
Decode,699,3.70ms
Decode,700,3.98ms
Encode,700,973.79µs
Decode,700,4.16ms
Decode,701,3.81ms
Encode,701,904.25µs
Decode,701,4.20ms
Decode,702,3.50ms
Encode,702,927.71µs
Decode,702,3.87ms
Decode,703,3.40ms
Encode,703,853.08µs
Decode,703,4.14ms
Decode,704,3.85ms
Encode,704,874.88µs
Decode,704,3.98ms
Decode,705,3.74ms
Encode,705,1.07ms
Decode,705,3.66ms
Decode,706,3.85ms
Encode,706,1.04ms
Decode,706,3.51ms
Decode,707,3.76ms
Encode,707,880.25µs
Decode,707,4.20ms
Decode,708,3.92ms
Encode,708,1.01ms
Decode,708,3.82ms
Decode,709,35.80ms
Encode,709,898.08µs
Decode,709,8.47ms
Decode,710,3.92ms
Encode,710,1.12ms
Decode,710,3.65ms
Decode,711,3.90ms
Encode,711,975.04µs
Decode,711,4.00ms
Decode,712,4.03ms
Encode,712,1.01ms
Decode,712,3.82ms
Decode,713,3.56ms
Encode,713,893.79µs
Decode,713,3.93ms
Decode,714,3.80ms
Encode,714,845.33µs
Decode,714,4.01ms
Decode,715,3.60ms
Encode,715,791.21µs
Decode,715,4.07ms
Decode,716,3.75ms
Encode,716,944.42µs
Decode,716,4.20ms
Decode,717,3.90ms
Encode,717,944.75µs
Decode,717,3.93ms
Decode,718,3.54ms
Encode,718,1.00ms
Decode,718,4.07ms
Decode,719,3.77ms
Encode,719,893.58µs
Decode,719,4.25ms
Decode,720,3.97ms
Encode,720,1.04ms
Decode,720,4.03ms
Decode,721,3.57ms
Encode,721,786.33µs
Decode,721,4.16ms
Decode,722,4.08ms
Encode,722,909.04µs
Decode,722,4.02ms
Decode,723,3.86ms
Encode,723,969.79µs
Decode,723,3.83ms
Decode,724,3.94ms
Encode,724,996.50µs
Decode,724,3.54ms
Decode,725,3.96ms
Encode,725,851.79µs
Decode,725,4.21ms
Decode,726,3.97ms
Encode,726,876.92µs
Decode,726,3.96ms
Decode,727,3.75ms
Encode,727,1.03ms
Decode,727,4.66ms
Decode,728,3.68ms
Encode,728,992.33µs
Decode,728,3.90ms
Decode,729,4.06ms
Encode,729,835.29µs
Decode,729,3.57ms
Decode,730,4.07ms
Encode,730,1.27ms
Decode,730,3.68ms
Decode,731,3.83ms
Encode,731,879.00µs
Decode,731,4.39ms
Decode,732,3.75ms
Encode,732,843.58µs
Decode,732,3.89ms
Decode,733,3.65ms
Encode,733,889.13µs
Decode,733,3.99ms
Decode,734,3.49ms
Encode,734,856.00µs
Decode,734,3.89ms
Decode,735,3.54ms
Encode,735,796.29µs
Decode,735,3.70ms
Decode,736,3.67ms
Encode,736,926.25µs
Decode,736,4.07ms
Decode,737,4.04ms
Encode,737,921.54µs
Decode,737,4.00ms
Decode,738,3.46ms
Encode,738,1.13ms
Decode,738,3.82ms
Decode,739,4.09ms
Encode,739,997.96µs
Decode,739,4.14ms
Decode,740,3.55ms
Encode,740,851.58µs
Decode,740,3.77ms
Decode,741,3.67ms
Encode,741,850.96µs
Decode,741,4.01ms
Decode,742,3.58ms
Encode,742,802.29µs
Decode,742,3.91ms
Decode,743,3.68ms
Encode,743,996.29µs
Decode,743,3.93ms
Decode,744,3.85ms
Encode,744,953.04µs
Decode,744,3.57ms
Decode,745,3.72ms
Encode,745,1.11ms
Decode,745,4.04ms
Decode,746,3.73ms
Encode,746,923.92µs
Decode,746,3.84ms
Decode,747,4.48ms
Encode,747,982.29µs
Decode,747,3.76ms
Decode,748,3.79ms
Encode,748,858.04µs
Decode,748,4.15ms
Decode,749,3.79ms
Encode,749,922.21µs
Decode,749,3.85ms
Decode,750,3.99ms
Encode,750,991.63µs
Decode,750,3.74ms
Decode,751,3.58ms
Encode,751,922.46µs
Decode,751,4.25ms
Decode,752,3.52ms
Encode,752,1.11ms
Decode,752,4.20ms
Decode,753,4.03ms
Encode,753,1.04ms
Decode,753,4.12ms
Decode,754,3.77ms
Encode,754,1.06ms
Decode,754,3.66ms
Decode,755,3.78ms
Encode,755,838.83µs
Decode,755,3.79ms
Decode,756,3.58ms
Encode,756,990.88µs
Decode,756,4.81ms
Decode,757,3.53ms
Encode,757,899.42µs
Decode,757,3.74ms
Decode,758,3.65ms
Encode,758,871.38µs
Decode,758,3.95ms
Decode,759,3.99ms
Encode,759,874.42µs
Decode,759,4.13ms
Decode,760,4.20ms
Encode,760,865.46µs
Decode,760,4.09ms
Decode,761,4.05ms
Encode,761,960.38µs
Decode,761,4.15ms
Decode,762,3.65ms
Encode,762,896.17µs
Decode,762,4.03ms
Decode,763,3.41ms
Encode,763,798.42µs
Decode,763,4.28ms
Decode,764,3.50ms
Encode,764,839.25µs
Decode,764,3.86ms
Decode,765,4.04ms
Encode,765,845.92µs
Decode,765,4.08ms
Decode,766,4.68ms
Encode,766,1.10ms
Decode,766,4.67ms
Decode,767,3.64ms
Encode,767,849.25µs
Decode,767,5.01ms
Decode,768,4.49ms
Encode,768,981.67µs
Decode,768,4.34ms
Decode,769,4.18ms
Encode,769,953.17µs
Decode,769,4.53ms
Decode,770,4.96ms
Encode,770,906.50µs
Decode,770,4.58ms
Decode,771,3.94ms
Encode,771,934.04µs
Decode,771,4.89ms
Decode,772,3.74ms
Encode,772,1.06ms
Decode,772,4.84ms
Decode,773,4.45ms
Encode,773,1.02ms
Decode,773,4.49ms
Decode,774,4.10ms
Encode,774,1.05ms
Decode,774,4.52ms
Decode,775,4.21ms
Encode,775,1.01ms
Decode,775,4.81ms
Decode,776,4.98ms
Encode,776,1.22ms
Decode,776,3.83ms
Decode,777,5.19ms
Encode,777,1.04ms
Decode,777,4.90ms
Decode,778,4.41ms
Encode,778,1.37ms
