Operation,Run,Time (seconds)
Decode,88,4.10ms
Decode,89,3.68ms
Encode,89,1.05ms
Decode,89,4.65ms
Decode,90,3.54ms
Encode,90,876.79µs
Decode,90,3.85ms
Decode,91,4.01ms
Encode,91,1.02ms
Decode,91,4.50ms
Decode,92,5.06ms
Encode,92,951.79µs
Decode,92,4.19ms
Decode,93,4.07ms
Encode,93,922.79µs
Decode,93,4.68ms
Decode,94,4.61ms
Encode,94,1.13ms
Decode,94,4.77ms
Decode,95,4.13ms
Encode,95,1.08ms
Decode,95,3.73ms
Decode,96,4.21ms
Encode,96,904.29µs
Decode,96,3.76ms
Decode,97,3.73ms
Encode,97,961.21µs
Decode,97,5.22ms
Decode,98,3.58ms
Encode,98,860.38µs
Decode,98,3.93ms
Decode,99,3.92ms
Encode,99,911.38µs
Decode,99,3.85ms
Decode,100,3.47ms
Encode,100,874.79µs
Decode,100,4.20ms
Decode,101,4.37ms
Encode,101,1.02ms
Decode,101,4.79ms
Decode,102,4.60ms
Encode,102,992.83µs
Decode,102,4.45ms
Decode,103,3.64ms
Encode,103,883.75µs
Decode,103,4.39ms
Decode,104,3.56ms
Encode,104,1.16ms
Decode,104,4.55ms
Decode,105,3.93ms
Encode,105,846.63µs
Decode,105,3.84ms
Decode,106,4.18ms
Encode,106,924.46µs
Decode,106,4.71ms
Decode,107,3.68ms
Encode,107,893.58µs
Decode,107,4.20ms
Decode,108,4.25ms
Encode,108,878.71µs
Decode,108,4.43ms
Decode,109,3.61ms
Encode,109,885.13µs
Decode,109,4.19ms
Decode,110,3.92ms
Encode,110,1.07ms
Decode,110,4.53ms
Decode,111,4.03ms
Encode,111,893.21µs
Decode,111,4.39ms
Decode,112,4.20ms
Encode,112,1.01ms
Decode,112,4.41ms
Decode,113,4.17ms
Encode,113,1.24ms
Decode,113,5.09ms
Decode,114,4.53ms
Encode,114,998.83µs
Decode,114,3.96ms
Decode,115,4.52ms
Encode,115,1.17ms
Decode,115,4.58ms
Decode,116,3.77ms
Encode,116,1.15ms
Decode,116,6.13ms
Decode,117,5.34ms
Encode,117,1.16ms
Decode,117,4.14ms
Decode,118,4.36ms
Encode,118,1.04ms
Decode,118,4.72ms
Decode,119,3.80ms
Encode,119,1.38ms
Decode,119,4.58ms
Decode,120,4.20ms
Encode,120,1.07ms
Decode,120,5.53ms
Decode,121,4.50ms
Encode,121,1.05ms
Decode,121,4.75ms
Decode,122,4.30ms
Encode,122,1.05ms
Decode,122,4.40ms
Decode,123,4.25ms
Encode,123,1.04ms
Decode,123,4.51ms
Decode,124,4.60ms
Encode,124,896.17µs
Decode,124,5.14ms
Decode,125,4.84ms
Encode,125,1.19ms
Decode,125,4.20ms
Decode,126,4.13ms
Encode,126,1.01ms
Decode,126,3.94ms
Decode,127,4.11ms
Encode,127,915.38µs
Decode,127,4.33ms
Decode,128,3.76ms
Encode,128,888.21µs
Decode,128,4.94ms
Decode,129,4.34ms
Encode,129,1.06ms
Decode,129,3.90ms
Decode,130,4.41ms
Encode,130,973.33µs
Decode,130,4.26ms
Decode,131,4.71ms
Encode,131,1.13ms
Decode,131,4.79ms
Decode,132,4.03ms
Encode,132,1.12ms
Decode,132,4.50ms
Decode,133,4.44ms
Encode,133,957.88µs
Decode,133,4.67ms
Decode,134,4.03ms
Encode,134,877.88µs
Decode,134,5.00ms
Decode,135,3.95ms
Encode,135,1.08ms
Decode,135,4.29ms
Decode,136,3.92ms
Encode,136,995.08µs
Decode,136,3.65ms
Decode,137,4.46ms
Encode,137,1.06ms
Decode,137,4.48ms
Decode,138,4.06ms
Encode,138,1.11ms
Decode,138,5.17ms
Decode,139,4.35ms
Encode,139,1.21ms
Decode,139,3.76ms
Decode,140,3.94ms
Encode,140,1.20ms
Decode,140,4.23ms
Decode,141,4.15ms
Encode,141,1.06ms
Decode,141,4.81ms
Decode,142,4.28ms
Encode,142,1.09ms
Decode,142,4.40ms
Decode,143,3.97ms
Encode,143,1.04ms
Decode,143,4.13ms
Decode,144,4.63ms
Encode,144,974.50µs
Decode,144,4.80ms
Decode,145,4.68ms
Encode,145,1.15ms
Decode,145,4.11ms
Decode,146,3.58ms
Encode,146,890.13µs
Decode,146,4.32ms
Decode,147,4.39ms
Encode,147,1.11ms
Decode,147,4.02ms
Decode,148,3.54ms
Encode,148,946.54µs
Decode,148,4.81ms
Decode,149,3.87ms
Encode,149,990.33µs
Decode,149,3.81ms
Decode,150,4.11ms
Encode,150,862.08µs
Decode,150,4.63ms
Decode,151,4.45ms
Encode,151,959.71µs
Decode,151,4.07ms
Decode,152,4.04ms
Encode,152,1.10ms
Decode,152,4.18ms
Decode,153,4.62ms
Encode,153,995.96µs
Decode,153,4.50ms
Decode,154,4.47ms
Encode,154,1.08ms
Decode,154,3.99ms
Decode,155,3.98ms
Encode,155,946.13µs
Decode,155,4.45ms
Decode,156,3.57ms
Encode,156,964.29µs
Decode,156,4.36ms
Decode,157,4.56ms
Encode,157,987.88µs
Decode,157,4.33ms
Decode,158,4.41ms
Encode,158,1.05ms
Decode,158,4.33ms
Decode,159,4.61ms
Encode,159,975.71µs
Decode,159,4.11ms
Decode,160,4.17ms
Encode,160,923.38µs
Decode,160,4.55ms
Decode,161,4.59ms
Encode,161,944.71µs
Decode,161,4.48ms
Decode,162,4.09ms
Encode,162,957.58µs
Decode,162,4.41ms
Decode,163,3.91ms
Encode,163,1.08ms
Decode,163,3.77ms
Decode,164,4.40ms
Encode,164,1.00ms
Decode,164,3.53ms
Decode,165,4.30ms
Encode,165,972.75µs
Decode,165,3.71ms
Decode,166,4.69ms
Encode,166,857.54µs
Decode,166,4.67ms
Decode,167,3.62ms
Encode,167,1.21ms
Decode,167,4.44ms
Decode,168,4.48ms
Encode,168,1.17ms
Decode,168,4.28ms
Decode,169,4.96ms
Encode,169,921.33µs
Decode,169,3.90ms
Decode,170,3.92ms
Encode,170,951.58µs
Decode,170,4.71ms
Decode,171,4.87ms
Encode,171,885.33µs
Decode,171,4.55ms
Decode,172,4.37ms
Encode,172,911.92µs
Decode,172,4.49ms
Decode,173,4.36ms
Encode,173,1.08ms
Decode,173,4.41ms
Decode,174,4.47ms
Encode,174,963.46µs
Decode,174,4.77ms
Decode,175,4.76ms
Encode,175,949.63µs
Decode,175,3.89ms

Encode,176,1.00ms
Decode,176,8.27ms
Decode,177,3.87ms
Encode,177,1.00ms
Decode,177,4.33ms
Decode,178,3.49ms
Encode,178,1.03ms
Decode,178,4.24ms
Decode,179,4.56ms
Encode,179,1.10ms
Decode,179,4.61ms
Decode,180,3.98ms
Encode,180,945.08µs
Decode,180,4.11ms
Decode,181,4.45ms
Encode,181,973.71µs
Decode,181,4.49ms
Decode,182,3.49ms
Encode,182,866.88µs
Decode,182,4.10ms
Decode,183,3.41ms
Encode,183,1.06ms
Decode,183,3.88ms
Decode,184,4.30ms
Encode,184,1.03ms
Decode,184,3.74ms
Decode,185,3.73ms
Encode,185,823.33µs
Decode,185,4.03ms
Decode,186,3.67ms
Encode,186,882.58µs
Decode,186,3.93ms
Decode,187,3.53ms
Encode,187,888.75µs
Decode,187,4.98ms
Decode,188,3.83ms
Encode,188,909.88µs
Decode,188,3.86ms
Decode,189,4.29ms
Encode,189,1.05ms
